"words","out","Freq"
"the","entire",31
"the","movie",31
"the","number",31
"the","program",31
"the","things",31
"to","follow",31
"to","let",31
"to","meet",31
"university","of",31
"we","got",31
"which","i",31
"will","take",31
"you","a",31
"you","guys",31
"a","large",30
"a","number",30
"about","how",30
"about","what",30
"after","all",30
"am","i",30
"are","all",30
"did","you",30
"easy","to",30
"figure","out",30
"here","are",30
"i","mean",30
"i","wish",30
"in","other",30
"is","why",30
"it","could",30
"know","if",30
"little","bit",30
"long","as",30
"made","it",30
"makes","me",30
"many","people",30
"me","in",30
"member","of",30
"much","as",30
"my","first",30
"needed","to",30
"now","and",30
"on","monday",30
"said","she",30
"see","a",30
"the","board",30
"the","front",30
"the","money",30
"the","problem",30
"the","week",30
"the","yearold",30
"them","and",30
"they","do",30
"they","would",30
"to","become",30
"to","learn",30
"to","them",30
"use","the",30
"we","want",30
"where","i",30
"with","some",30
"working","on",30
"a","friend",29
"a","nice",29
"a","wonderful",29
"all","about",29
"and","are",29
"and","no",29
"and","will",29
"any","other",29
"are","so",29
"but","this",29
"can","you",29
"comes","to",29
"down","and",29
"had","no",29
"have","not",29
"he","did",29
"is","being",29
"is","now",29
"it","had",29
"it","not",29
"known","as",29
"long","time",29
"los","angeles",29
"not","even",29
"off","to",29
"or","two",29
"piece","of",29
"place","in",29
"see","you",29
"should","have",29
"so","he",29
"talk","to",29
"the","great",29
"the","name",29
"the","university",29
"to","look",29
"to","talk",29
"were","not",29
"what","he",29
"where","they",29
"with","our",29
"would","like",29
"you","don",29
"you","just",29
"a","better",28
"add","the",28
"an","old",28
"and","be",28
"and","see",28
"but","when",28
"come","in",28
"filled","with",28
"he","says",28
"health","care",28
"how","do",28
"how","i",28
"im","so",28
"it","as",28
"it","with",28
"last","month",28
"last","time",28
"looking","at",28
"m","not",28
"middle","of",28
"my","friend",28
"not","going",28
"of","me",28
"since","i",28
"t","want",28
"that","if",28
"that","my",28
"the","bottom",28
"the","car",28
"the","process",28
"the","real",28
"the","third",28
"the","weekend",28
"thinking","about",28
"thought","i",28
"to","bring",28
"to","buy",28
"to","us",28
"us","and",28
"was","very",28
"we","ve",28
"we","would",28
"why","the",28
"with","him",28
"work","on",28
"a","girl",27
"a","million",27
"all","day",27
"all","over",27
"at","that",27
"but","if",27
"but","what",27
"called","the",27
"care","of",27
"example","of",27
"excited","to",27
"for","example",27
"for","one",27
"from","to",27
"her","to",27
"him","and",27
"i","hate",27
"is","about",27
"is","more",27
"is","this",27
"is","what",27
"living","in",27
"me","that",27
"much","more",27
"of","how",27
"san","francisco",27
"sense","of",27
"something","i",27
"something","that",27
"take","it",27
"the","door",27
"the","event",27
"the","federal",27
"the","former",27
"they","dont",27
"things","that",27
"today","i",27
"we","know",27
"were","going",27
"what","do",27
"which","the",27
"who","were",27
"year","and",27
"years","of",27
"you","like",27
"a","month",26
"a","more",26
"a","second",26
"am","not",26
"among","the",26
"and","even",26
"and","just",26
"as","to",26
"be","an",26
"be","at",26
"been","in",26
"day","in",26
"do","this",26
"every","time",26
"for","that",26
"he","can",26
"how","the",26
"i","go",26
"i","loved",26
"i","should",26
"im","going",26
"is","all",26
"it","also",26
"made","me",26
"managed","to",26
"my","head",26
"my","mom",26
"next","week",26
"no","idea",26
"on","saturday",26
"one","day",26
"people","to",26
"read","the",26
"return","to",26
"so","you",26
"tell","me",26
"that","one",26
"the","biggest",26
"the","home",26
"the","morning",26
"think","the",26
"to","call",26
"to","run",26
"two","of",26
"ways","to",26
"what","are",26
"willing","to",26
"years","and",26
"a","former",25
"a","half",25
"a","place",25
"a","special",25
"a","yearold",25
"along","the",25
"am","a",25
"and","our",25
"are","on",25
"are","still",25
"as","long",25
"at","one",25
"back","on",25
"but","as",25
"can","see",25
"did","i",25
"do","so",25
"even","more",25
"expected","to",25
"family","and",25
"go","back",25
"group","of",25
"happy","to",25
"have","any",25
"have","it",25
"his","first",25
"i","said",25
"i","say",25
"in","addition",25
"including","the",25
"its","own",25
"like","i",25
"made","the",25
"next","year",25
"of","things",25
"on","top",25
"on","what",25
"over","to",25
"president","of",25
"soon","as",25
"that","could",25
"that","were",25
"the","amount",25
"the","area",25
"the","beginning",25
"the","district",25
"the","economy",25
"the","nfl",25
"the","old",25
"the","work",25
"thing","i",25
"this","season",25
"three","years",25
"to","believe",25
"to","him",25
"waiting","for",25
"way","of",25
"were","a",25
"with","that",25
"with","your",25
"within","the",25
"without","the",25
"years","in",25
"you","might",25
"you","see",25
"a","car",24
"a","job",24
"a","single",24
"a","statement",24
"a","whole",24
"ability","to",24
"all","this",24
"an","hour",24
"and","had",24
"and","on",24
"and","others",24
"and","with",24
"as","soon",24
"be","more",24
"but","she",24
"by","an",24
"come","up",24
"day","i",24
"department","of",24
"do","we",24
"dont","think",24
"every","day",24
"follow","me",24
"for","its",24
"her","own",24
"his","wife",24
"how","it",24
"i","find",24
"interest","in",24
"is","expected",24
"is","something",24
"it","so",24
"just","the",24
"me","on",24
"my","heart",24
"next","to",24
"now","that",24
"of","being",24
"of","life",24
"of","one",24
"on","sunday",24
"one","thing",24
"only","a",24
"over","a",24
"place","to",24
"plan","to",24
"quite","a",24
"said","we",24
"school","and",24
"set","up",24
"she","would",24
"that","have",24
"the","following",24
"the","moment",24
"the","president",24
"the","street",24
"there","a",24
"there","will",24
"they","want",24
"think","about",24
"this","point",24
"this","weekend",24
"through","a",24
"throughout","the",24
"to","and",24
"to","check",24
"to","create",24
"to","provide",24
"to","those",24
"took","the",24
"wait","for",24
"was","that",24
"we","should",24
"what","to",24
"when","a",24
"where","we",24
"where","you",24
"working","with",24
"would","you",24
"yes","i",24
"you","all",24
"you","would",24
"a","major",23
"a","part",23
"a","person",23
"also","a",23
"and","were",23
"are","also",23
"as","many",23
"at","me",23
"be","sure",23
"for","now",23
"found","a",23
"give","you",23
"good","to",23
"had","an",23
"his","family",23
"i","decided",23
"i","havent",23
"i","used",23
"it","comes",23
"it","should",23
"its","just",23
"just","to",23
"last","season",23
"let","us",23
"life","is",23
"list","of",23
"looks","like",23
"love","and",23
"me","for",23
"my","friends",23
"never","been",23
"not","in",23
"people","and",23
"proud","of",23
"say","the",23
"seemed","to",23
"sure","to",23
"that","had",23
"the","boys",23
"the","county",23
"the","crowd",23
"the","group",23
"the","internet",23
"the","person",23
"the","table",23
"the","very",23
"these","are",23
"to","add",23
"to","deal",23
"to","figure",23
"to","its",23
"to","one",23
"to","pick",23
"to","spend",23
"took","a",23
"up","at",23
"we","did",23
"while","i",23
"wish","i",23
"you","ll",23
"a","group",22
"a","piece",22
"all","those",22
"and","also",22
"and","at",22
"and","make",22
"and","of",22
"are","more",22
"as","of",22
"at","times",22
"back","and",22
"because","you",22
"couldn","t",22
"day","to",22
"dont","want",22
"food","and",22
"half","of",22
